"ML_Model","Disease","LLM_1","LLM_2","n_seeds","mean_1","mean_2","df","p_value","q_value"
"EXTRATREES","KD/MIS-C","Gemini 2.5 Pro Long","Gemini 2.5 Pro Short",98,0.874799919967987,0.8656262505002,97,0.127312440504783,0.186260966011821
"EXTRATREES","KD/MIS-C","Gemini 2.5 Pro Long","Gemini Advanced 2.0 Flash Long",100,0.874186274509804,0.876598039215686,99,0.457895932363545,0.549716752573648
"EXTRATREES","KD/MIS-C","Gemini 2.5 Pro Long","Gemini Advanced 2.0 Flash Short",100,0.874186274509804,0.857813725490196,99,0.00513402986063618,0.00984262747158481
"EXTRATREES","KD/MIS-C","Gemini 2.5 Pro Long","Random",100,0.874186274509804,0.775274509803922,99,5.42728844308488e-21,3.64938360828121e-20
"EXTRATREES","KD/MIS-C","Gemini 2.5 Pro Short","Gemini Advanced 2.0 Flash Long",98,0.8656262505002,0.877300920368147,97,0.0692335188634304,0.108127864128813
"EXTRATREES","KD/MIS-C","Gemini 2.5 Pro Short","Gemini Advanced 2.0 Flash Short",98,0.8656262505002,0.856852741096439,97,0.251544972500952,0.330788908924663
"EXTRATREES","KD/MIS-C","Gemini 2.5 Pro Short","Random",98,0.8656262505002,0.775450180072029,97,1.15655966345341e-16,6.34017646832894e-16
"EXTRATREES","KD/MIS-C","Gemini Advanced 2.0 Flash Long","Gemini Advanced 2.0 Flash Short",100,0.876598039215686,0.857813725490196,99,0.0012013465157695,0.00256224686566463
"EXTRATREES","KD/MIS-C","Gemini Advanced 2.0 Flash Long","Random",100,0.876598039215686,0.775274509803922,99,4.07927243973819e-22,2.97765073809766e-21
"EXTRATREES","KD/MIS-C","Gemini Advanced 2.0 Flash Short","Random",100,0.857813725490196,0.775274509803922,99,1.89089240437482e-15,9.81394726985408e-15
"GLMNETLasso","KD/MIS-C","Claude 3.7 Sonnet Long","Claude 3.7 Sonnet Short",100,0.849156862745098,0.858882352941177,99,0.0645039912763703,0.101088344537595
"GLMNETLasso","KD/MIS-C","Claude 3.7 Sonnet Long","Claude Opus4 Long",100,0.849156862745098,0.854411764705882,99,0.306328761394659,0.390783887199728
"GLMNETLasso","KD/MIS-C","Claude 3.7 Sonnet Long","Claude Opus4 Short",100,0.849156862745098,0.858901960784314,99,0.0984863917318471,0.150205502473711
"GLMNETLasso","KD/MIS-C","Claude 3.7 Sonnet Long","DESeq",100,0.849156862745098,0.942745098039216,99,1.80953526019338e-32,3.29335417355196e-31
"GLMNETLasso","KD/MIS-C","Claude 3.7 Sonnet Long","GPT 4o Long",100,0.849156862745098,0.832745098039216,99,0.0139164474554244,0.0246559710989334
"GLMNETLasso","KD/MIS-C","Claude 3.7 Sonnet Long","GPT 4o Short",100,0.849156862745098,0.776843137254902,99,4.1280753288328e-11,1.56522856218244e-10
"GLMNETLasso","KD/MIS-C","Claude 3.7 Sonnet Long","GPT o3 Long",58,0.849864773495605,0.873326572008114,57,0.000960685455265071,0.00207489817474181
"GLMNETLasso","KD/MIS-C","Claude 3.7 Sonnet Long","GPT o3 Short",100,0.849156862745098,0.874098039215686,99,1.31413636693309e-05,3.39734117587817e-05
"GLMNETLasso","KD/MIS-C","Claude 3.7 Sonnet Long","Gemini 2.5 Pro Long",100,0.849156862745098,0.860372549019608,99,0.0269374232287408,0.0451160524015106
"GLMNETLasso","KD/MIS-C","Claude 3.7 Sonnet Long","Gemini 2.5 Pro Short",97,0.850171821305842,0.847948251465535,96,0.72772474359509,0.797226544949677
"GLMNETLasso","KD/MIS-C","Claude 3.7 Sonnet Long","Gemini Advanced 2.0 Flash Long",100,0.849156862745098,0.850764705882353,99,0.772587271286051,0.831688978947523
"GLMNETLasso","KD/MIS-C","Claude 3.7 Sonnet Long","Gemini Advanced 2.0 Flash Short",100,0.849156862745098,0.818980392156863,99,0.00109931399999384,0.00235937674526979
"GLMNETLasso","KD/MIS-C","Claude 3.7 Sonnet Long","Random",100,0.849156862745098,0.765098039215686,99,4.93986311705414e-21,3.37145657738945e-20
"GLMNETLasso","KD/MIS-C","Claude 3.7 Sonnet Short","Claude Opus4 Long",100,0.858882352941177,0.854411764705882,99,0.341749238057708,0.427186547572135
"GLMNETLasso","KD/MIS-C","Claude 3.7 Sonnet Short","Claude Opus4 Short",100,0.858882352941177,0.858901960784314,99,0.997287711500271,0.997287711500271
"GLMNETLasso","KD/MIS-C","Claude 3.7 Sonnet Short","DESeq",100,0.858882352941177,0.942745098039216,99,1.73954768619052e-28,2.17326151206203e-27
"GLMNETLasso","KD/MIS-C","Claude 3.7 Sonnet Short","GPT 4o Long",100,0.858882352941177,0.832745098039216,99,1.89995571150621e-05,4.84755055365603e-05
"GLMNETLasso","KD/MIS-C","Claude 3.7 Sonnet Short","GPT 4o Short",100,0.858882352941177,0.776843137254902,99,1.60652733892859e-12,6.50715079417664e-12
"GLMNETLasso","KD/MIS-C","Claude 3.7 Sonnet Short","GPT o3 Long",58,0.862812711291413,0.873326572008114,57,0.0677664177222907,0.105957800905987
"GLMNETLasso","KD/MIS-C","Claude 3.7 Sonnet Short","GPT o3 Short",100,0.858882352941177,0.874098039215686,99,0.00380415414118752,0.00742871302249066
"GLMNETLasso","KD/MIS-C","Claude 3.7 Sonnet Short","Gemini 2.5 Pro Long",100,0.858882352941177,0.860372549019608,99,0.752987385166308,0.817544126889444
"GLMNETLasso","KD/MIS-C","Claude 3.7 Sonnet Short","Gemini 2.5 Pro Short",97,0.859571457448959,0.847948251465535,96,0.107880895792707,0.16217777836679
"GLMNETLasso","KD/MIS-C","Claude 3.7 Sonnet Short","Gemini Advanced 2.0 Flash Long",100,0.858882352941177,0.850764705882353,99,0.143405355822972,0.206050853366692
"GLMNETLasso","KD/MIS-C","Claude 3.7 Sonnet Short","Gemini Advanced 2.0 Flash Short",100,0.858882352941177,0.818980392156863,99,1.62304868617849e-06,4.56796176625492e-06
"GLMNETLasso","KD/MIS-C","Claude 3.7 Sonnet Short","Random",100,0.858882352941177,0.765098039215686,99,1.9907365458935e-23,1.59844434420272e-22
"GLMNETLasso","KD/MIS-C","Claude Opus4 Long","Claude Opus4 Short",100,0.854411764705882,0.858901960784314,99,0.467650885543229,0.558969753735996
"GLMNETLasso","KD/MIS-C","Claude Opus4 Long","DESeq",100,0.854411764705882,0.942745098039216,99,1.77014890481691e-30,2.74574233531259e-29
"GLMNETLasso","KD/MIS-C","Claude Opus4 Long","GPT 4o Long",100,0.854411764705882,0.832745098039216,99,0.000233938016077367,0.000541229477873908
"GLMNETLasso","KD/MIS-C","Claude Opus4 Long","GPT 4o Short",100,0.854411764705882,0.776843137254902,99,6.16530830869916e-12,2.41135983993535e-11
"GLMNETLasso","KD/MIS-C","Claude Opus4 Long","GPT o3 Long",58,0.859634888438134,0.873326572008114,57,0.0265496222112026,0.0446858622913583
"GLMNETLasso","KD/MIS-C","Claude Opus4 Long","GPT o3 Short",100,0.854411764705882,0.874098039215686,99,8.75826858942062e-05,0.000213482796867128
"GLMNETLasso","KD/MIS-C","Claude Opus4 Long","Gemini 2.5 Pro Long",100,0.854411764705882,0.860372549019608,99,0.203880076058479,0.279133704934628
"GLMNETLasso","KD/MIS-C","Claude Opus4 Long","Gemini 2.5 Pro Short",97,0.855488174651304,0.847948251465535,96,0.269789983897315,0.350060197737486
"GLMNETLasso","KD/MIS-C","Claude Opus4 Long","Gemini Advanced 2.0 Flash Long",100,0.854411764705882,0.850764705882353,99,0.503697931278965,0.594250368362824
"GLMNETLasso","KD/MIS-C","Claude Opus4 Long","Gemini Advanced 2.0 Flash Short",100,0.854411764705882,0.818980392156863,99,4.0195015022389e-05,9.99384253288907e-05
"GLMNETLasso","KD/MIS-C","Claude Opus4 Long","Random",100,0.854411764705882,0.765098039215686,99,1.02015073112883e-24,9.10134475811013e-24
"GLMNETLasso","KD/MIS-C","Claude Opus4 Short","DESeq",100,0.858901960784314,0.942745098039216,99,2.46078985994879e-23,1.95289427838959e-22
"GLMNETLasso","KD/MIS-C","Claude Opus4 Short","GPT 4o Long",100,0.858901960784314,0.832745098039216,99,2.2305031505584e-05,5.66971471231325e-05
"GLMNETLasso","KD/MIS-C","Claude Opus4 Short","GPT 4o Short",100,0.858901960784314,0.776843137254902,99,2.90320040981987e-13,1.27423426347399e-12
